Address,Amount
0x72dbe4326bf0fc61d22a8dc22ae2352b29f87f05,$0.0
0x92b8f9fe69d7a0ff316de2fbeadd1a5c29f774ec,$0.91
0xb0c06e6c5a47358ba2bede40aa750e307e50859d,$43.11
0x1fa93cae01311fbfcbac882c7a689859eb785dae,$0.85
0xae1b058185a4ccbb5bbf2be8124039e4ba8f907f,$9521.83
0xfeefa6a1b81344723f7863e00890a3186751394a,$0.73
0x0370348585515800f51072f13471c5c5a67fa07a,$0.43
0xa84dece887161648ca5c0d37b92505728b2f7b74,$0.0
0x67c7c1e1114fd3b68fa0fe023c5be3c857e3bb36,$0.0
0xbd87fdad3cec221ebb4bf11f4ead250331752e17,$39.29
0x489d55df278224a05f793098d41753d5669d5144,$1.66
0xb16187b31fd260385ff405721796d4cd84739e55,$0.01
0xbca50151397b790c7d1cf5c66e8889a08b086612,$632.42
0x8d4b2b5e38694c2d7a2763244a3c593af932c3be,$866.77
0xd6991901cc0fbd1ba5470edf8f545a0db7e59ccb,$103.8
0x9bacec26542a3652a131aff8ae10bd0787cfed1a,$159.62
0xc8c5152d2747b77eb52ef96ea9a3e770b583d586,$7.58
0xa4b676d48bece74cd241bb487e55682e85d023a9,$0.16
0x306f6465c5ddf502a5bb31e3b340ad30f7ee0c77,$26.61
0x6735646dba76763695be5395bf2f4245046db44c,$83.38
0x4d60d71f411ab671f614ed0ec5b71beedb46287d,$0.0
0x9332764dbf57f6cb4dcf7757fed2f5517e2227b7,$25.82
0x5d6836f641fffe6a86799b51a4bded07148760ca,$396.99
0x12b594f4987c1978b3c4e2a018bf561846d1962c,$4.74
0xf89684bccdca539cd09f26e8cf4c396b7c6fb39a,$4.29
0x4714da5ae7c92d4bf99ca19f5aa7755a1bd0e42f,$1.69
0xca54fa35a5b545c1564f9373255e29d30192f6e7,$0.48
0x44fa1b7b7acc00f6c81539a8fe255794edf7c03c,$8.88
0x8198701ef72cff6f137100827d5761e1e057c1ab,$217.5
0xc70be833d2df49add0943d38cf064e974faf2ff0,$25.66
0x6d39986be91769b86818d5c470562b4eb00f37f4,$0.2
0xcfa7acf8b959b0e370a68492876a09c34ed58428,$7560.83
0xa766094e9bf0afc1bb5208ec9a81a782663d797a,$0.07
0x8a3154b26c925fa8b2d61fc0b94747079acc5691,$697.97
0x13db10eb80547a9c221fecddbf11558f9ad45a46,$45.64
0x8b46cadc9aa88224f167711d333134a1f769f918,$9.44
0xfeff18971b0e49f503586980218c835dca346b8f,$46.61
0xcacd0572faeea161bc7e081e0a0d459ef9c50bbf,$0.0
0x48e656faa91f50b8539b679db48feb10b5529d87,$0.35
0x466719a736a82041ab7a15bf564b498d1a52e181,$10.57
0x3c69f27ffa0c9fc426a664d1aa51200ab52b6f17,$0.01
0xe2e3fce1b7712c0faba08e72990b5094c666ef5c,$1280.03
0x52dfdf369f6b4fde187a9d54561cab8f9574c0d3,$259.21
0xd9f3d4bb742af9feb8be2f629572e6baf09cc5cf,$6.86
0x6a4f6697c6f42c2b52e39560a664892045a89af1,$258.62
0xa3ff8b3ec606ae0c00676ec682d6afdc7d708312,$0.01
0xb9cb4d9484e0d78ae52deb37c5e38988b70bd9c1,$2.95
0xe319450100afa5d5e3cf7da20390fd473a328b56,$1.07
0x4dd1b9f770ea4b115e31f32c88fbebb92461a3df,$0.15
0x620bd9e7648ff5cc94f7f0840b9874652d7df811,$21.45
0x617616dd22233b07d426dfc946f017b6128d2aaa,$0.15
0x08f2184e570899b33591c6e78c07cd20a76fe1fc,$26.85
0x9cdf1cd87b904e3d1991a4cdc734c0b807412834,$0.15
0x22a4bdef92a469a29ac9387f1a28c6ea5aa52ddb,$9.51
0xc80321a70f3aa6c82cf2c9c8af2d46666bc4846d,$9.0
0x99a4094b34586c24902f4ce5e181053bb2923ffb,$0.16
0x7cf38d0f09f89016955881336893250230cffd65,$0.16
0xac4e179feb07548ddcfbd347c8dfa332c2a4ceb6,$1.33
0x7f7f1c49ce26004e926035abc498c514251d0615,$332.9
0x87b44af5a4cba60ee3076cea029d1f705ea21f66,$0.0
0x0da683cacdbaeb70d7b2592e460a8daecd9ba8c1,$601.91
0x126a54ec38e6cc4175f7587262d8129009339d56,$19.38
0xd2b1d4ede6fe2f1e0a27bc70117ac08282294841,$75.72
0x81d5813c8f90641b2ec51f74efc2c60a05978b7e,$584.58
0x811eb43826cb1c8f83400449f967ddc507360728,$0.0
0x17b1d9a1a8f0363e04bccdf2839cb107b2297774,$53.37
0x089e6d8721a5fa330ff5dd63033b940fa1ddd637,$0.84
0x57cd573fe4e2e9e74360b711d530cfe04db9f835,$0.0
0x9f012b153929ecc244c156c09f22f72569315fd9,$74.46
0x2e60fde232979d6dd223845f916962382a80e4e5,$0.53
0x450d917214101a4e3f5af7ac0eb1425afa20791a,$36.89
0x029b63e8ad652e4e4e2efe80da2279c26325716b,$1.72
0xf6882d198c8292dd204e48444c775a037aed8436,$30.79
0x5a27c4016a1ccbcfb55a24de25a33220eb45245f,$10.22
0xf329e1b7ea617eb1a4b09ad3cd5ad51a121a42f3,$1186.69
0x015ac234b727105a840ec363ef92be33228b23ce,$20.38
0xd6ca190274db3cb7a0b20afb3b089d98eeaa8248,$0.57
0x26bff40cdd8db07e9a5341fcdbac29926beefa71,$3.24
0x1fc7ba83e89bb974fe2d249dfa115a868dc864e5,$7.25
0xbc272fb3a57ef682a9236cf76e639dfe90a66750,$59.73
0x3f4af6e9952b8cf65fa1e7a061d10fa01ee8b0d6,$0.01
0xe7908ddffe945b547a07cf9d61b08f8a9edb09b5,$22.61
0x7c5eaca13133c55643922b9746d5c6e6c9e5f862,$78.05
0x671813687ef1c4f0dcccd6940880b0cb790364ad,$294.93
0x6c36f5dfb952c7eaf251733a3572e5042fcf2b4c,$2577.16
0x1ee284babbcedc1d2aaf72e5caa049b2ac37aee2,$15.62
0x19daa43e03c02bc7eb3918a2283138428731e4a1,$33.74
0xb6ea36753e274beaee379b9900fa0f6053f9a204,$0.0
0x425e07eabe1e9367158a76f9ffb6a71757f519bb,$329.11
0x5af8e967b04ac4525677777d5856d1c6723923c0,$0.78
0x9ea5b2817a7fc47ce87576c19de9b01e8949bbcc,$5.62
0xf1bb85b4d326bd8743d3fc1feb440f16dd784cbd,$1.11
0xe00b841251b8d8f0f78ab5ccd541f3773b8389db,$88.66
0x5cc96df48740ca79a339acc2ff0362a04991888b,$0.0
0x88c5f23cb1b9f4c8bc1f6c565c346cca606f4449,$0.01
