Address,Amount
0x72dbe4326bf0fc61d22a8dc22ae2352b29f87f05,3750000000000000
0x92b8f9fe69d7a0ff316de2fbeadd1a5c29f774ec,1073447000000000000
0xb0c06e6c5a47358ba2bede40aa750e307e50859d,51084679000000000000
0x1fa93cae01311fbfcbac882c7a689859eb785dae,1004232000000000000
0xae1b058185a4ccbb5bbf2be8124039e4ba8f907f,11282745691000000000000
0xfeefa6a1b81344723f7863e00890a3186751394a,861846000000000000
0x0370348585515800f51072f13471c5c5a67fa07a,505949000000000000
0xa84dece887161648ca5c0d37b92505728b2f7b74,1000000000000
0x67c7c1e1114fd3b68fa0fe023c5be3c857e3bb36,1000000000000
0xbd87fdad3cec221ebb4bf11f4ead250331752e17,46556495000000000000
0x489d55df278224a05f793098d41753d5669d5144,1972061000000000000
0xb16187b31fd260385ff405721796d4cd84739e55,10000000000000
0xbca50151397b790c7d1cf5c66e8889a08b086612,104709078000000000000
0x8d4b2b5e38694c2d7a2763244a3c593af932c3be,1027070785000000000000
0xd6991901cc0fbd1ba5470edf8f545a0db7e59ccb,348309614000000000000
0x9bacec26542a3652a131aff8ae10bd0787cfed1a,189136930000000000000
0xc8c5152d2747b77eb52ef96ea9a3e770b583d586,10192997000000000000
0xa4b676d48bece74cd241bb487e55682e85d023a9,1000000000000
0x306f6465c5ddf502a5bb31e3b340ad30f7ee0c77,583717000000000000
0x6735646dba76763695be5395bf2f4245046db44c,98796107000000000000
0x4d60d71f411ab671f614ed0ec5b71beedb46287d,145000000000000
0x9332764dbf57f6cb4dcf7757fed2f5517e2227b7,30591229000000000000
0x5d6836f641fffe6a86799b51a4bded07148760ca,470402662000000000000
0x12b594f4987c1978b3c4e2a018bf561846d1962c,5611931000000000000
0xf89684bccdca539cd09f26e8cf4c396b7c6fb39a,5082831000000000000
0x4714da5ae7c92d4bf99ca19f5aa7755a1bd0e42f,1998389000000000000
0xca54fa35a5b545c1564f9373255e29d30192f6e7,565814000000000000
0x44fa1b7b7acc00f6c81539a8fe255794edf7c03c,6208000000000000
0x8198701ef72cff6f137100827d5761e1e057c1ab,257724846000000000000
0xc70be833d2df49add0943d38cf064e974faf2ff0,30400545000000000000
0x6d39986be91769b86818d5c470562b4eb00f37f4,242201000000000000
0xcfa7acf8b959b0e370a68492876a09c34ed58428,7841077089000000000000
0xa766094e9bf0afc1bb5208ec9a81a782663d797a,812049000000000000
0x8a3154b26c925fa8b2d61fc0b94747079acc5691,444931351000000000000
0x13db10eb80547a9c221fecddbf11558f9ad45a46,178779408000000000000
0x8b46cadc9aa88224f167711d333134a1f769f918,10164696000000000000
