BscScan Link,Transaction Hash,From Address,To Address,Amount,Block Number,Transaction Index,From Address Dollar Value Change,To Address Dollar Value Change,Comment
https://bscscan.com/tx/0x9d773d99d2eae77969c4a90187306e1c577aa6ade00e624436f7730bfef24d10,0x9d773d99d2eae77969c4a90187306e1c577aa6ade00e624436f7730bfef24d10,0x9030d5c596d636eefc8f0ad7b2788ae7e9ef3d46,0x0fe6cf7a2687c5bddf302c5ccea901ba0bf71816,145055622000000000000,22720294,38,-145003156102085601010,0,Sold USD+
https://bscscan.com/tx/0x9d773d99d2eae77969c4a90187306e1c577aa6ade00e624436f7730bfef24d10,0x9d773d99d2eae77969c4a90187306e1c577aa6ade00e624436f7730bfef24d10,0x0fe6cf7a2687c5bddf302c5ccea901ba0bf71816,0xc80321a70f3aa6c82cf2c9c8af2d46666bc4846d,14505000000000000,22720294,38,0,14505000000000000,Removed USD+ liquidity
https://bscscan.com/tx/0xe472c3c8fb6571bae3fe683c77773211313466b452394aa8ba77a0b396f58eee,0xe472c3c8fb6571bae3fe683c77773211313466b452394aa8ba77a0b396f58eee,0x47d574e85df71a059ec442cad8dee2224f58b0d8,0x2a7813412b8da8d18ce56fe763b9eb264d8e28a8,1175186060000000000000,22720529,66,-1174562982514750581113,0,Sold USD+
https://bscscan.com/tx/0xe472c3c8fb6571bae3fe683c77773211313466b452394aa8ba77a0b396f58eee,0xe472c3c8fb6571bae3fe683c77773211313466b452394aa8ba77a0b396f58eee,0x2a7813412b8da8d18ce56fe763b9eb264d8e28a8,0x18101ac1d35230f1a3c005e2abaaeb25cae79e7f,1175186060000000000000,22720529,66,0,0,Internal LP transfer
https://bscscan.com/tx/0xe472c3c8fb6571bae3fe683c77773211313466b452394aa8ba77a0b396f58eee,0xe472c3c8fb6571bae3fe683c77773211313466b452394aa8ba77a0b396f58eee,0x18101ac1d35230f1a3c005e2abaaeb25cae79e7f,0x0fe6cf7a2687c5bddf302c5ccea901ba0bf71816,1175186060000000000000,22720529,66,0,0,Internal LP transfer
https://bscscan.com/tx/0xe472c3c8fb6571bae3fe683c77773211313466b452394aa8ba77a0b396f58eee,0xe472c3c8fb6571bae3fe683c77773211313466b452394aa8ba77a0b396f58eee,0x0fe6cf7a2687c5bddf302c5ccea901ba0bf71816,0xc80321a70f3aa6c82cf2c9c8af2d46666bc4846d,117518000000000000,22720529,66,0,117518000000000000,Removed USD+ liquidity
https://bscscan.com/tx/0x5e6eaf9d79078d0be9131536ab79467f543fffd68f3374467f8072c37c220caf,0x5e6eaf9d79078d0be9131536ab79467f543fffd68f3374467f8072c37c220caf,0x412a66bdaede5aa901fb125db45c53956a3d835f,0x0fe6cf7a2687c5bddf302c5ccea901ba0bf71816,1864846467000000000000,22720676,27,-1862553121747235111261,0,Sold USD+
https://bscscan.com/tx/0x5e6eaf9d79078d0be9131536ab79467f543fffd68f3374467f8072c37c220caf,0x5e6eaf9d79078d0be9131536ab79467f543fffd68f3374467f8072c37c220caf,0x0fe6cf7a2687c5bddf302c5ccea901ba0bf71816,0xc80321a70f3aa6c82cf2c9c8af2d46666bc4846d,186484000000000000,22720676,27,0,186484000000000000,Removed USD+ liquidity
https://bscscan.com/tx/0x0be9432af3c7dca6eab7cdc1dbfbdd05d3b464c37e9f1c0be71ae1915ebdc099,0x0be9432af3c7dca6eab7cdc1dbfbdd05d3b464c37e9f1c0be71ae1915ebdc099,0x977bc1f72e41e9072b2e219f034ebe63c54fffe5,0xdec068b3a229c2b8eea394feaf7b48ee57f7222f,99263820000000000000,22720708,36,0,99263820000000000000,Bought USD+
https://bscscan.com/tx/0x0be9432af3c7dca6eab7cdc1dbfbdd05d3b464c37e9f1c0be71ae1915ebdc099,0x0be9432af3c7dca6eab7cdc1dbfbdd05d3b464c37e9f1c0be71ae1915ebdc099,0xdec068b3a229c2b8eea394feaf7b48ee57f7222f,0x96a84808e1a9a093ff16dd9550ab48f60cab5a7c,496319000000000000,22720708,36,-496319000000000000,496319000000000000,Transferred USD+
