Holder,Amount
0xfeff18971b0e49f503586980218c835dca346b8f,54232778365150342110
0xf29961bb0704a9e11332504c4ae0fed8edca6da5,2169311
0x3021338c74f10cef1ece6404ac1498c2559f7a5c,1122816123525388901224
0xe92a405afa5f6a1b55f87f4bff1dd03bfcb144c3,10540846414223160058275
0x554d9fda5df38ce610804764a8763f3da4181606,2169311
0x79d2e55e30cd4183715f53517d5c5de850aba2cb,576442539919779639243
0x9c82b61417ba05961a2831ddb550905fdb950495,2169311
0x5cb01385d3097b6a189d1ac8ba3364d900666445,4081461451357332822
0x07edcf4925bb219d02dc77a8e61abad3de2c9922,76553073643573121182
0x9abe353247ae0d600fc7a5f06e1fe01039dd49cf,8677244
0x45354ba7fd880cb247f0940818dcc136b282ad3f,2198955203954623624042
0x306f6465c5ddf502a5bb31e3b340ad30f7ee0c77,30950298855529134613
0xbca4d68be543dcefb1a8bccb519503f9ba3f2026,82197628015153329101933
0x2756f3dc96b8cae209cdefbcd0a02c53cef148d4,37672622989159580005
0xcfa7acf8b959b0e370a68492876a09c34ed58428,1118008891724503333651
0x98ed3de65a3eaa55dcba3a2e287695b0948092d4,1048231603720264625601
0x4e5b2447077fbbe3bd3d69bee701344e9ca7a8dc,12924401245354702203674
0xbadaaaf7f5d6cfaa1e69b87e4698442bb0689b67,1581955471382589490262
0xfb41cbf2ce16e8f626013a2f465521d27ba9a610,9339981708500977989
0x22c90bc05ac3275109a3d2b1990491a667930aa2,10793336486265709833390
0x6ab643ec38cae722127642fdca4925ecbd9a1401,22281501091851411616
0x9a08883997cdae37e58c43928fd7dbfbf1624654,4511644227020361339
0x466719a736a82041ab7a15bf564b498d1a52e181,1925895370019362229
0xb9cb4d9484e0d78ae52deb37c5e38988b70bd9c1,3491511567273929151
0xe319450100afa5d5e3cf7da20390fd473a328b56,1267899735573891279
0x4dd1b9f770ea4b115e31f32c88fbebb92461a3df,181296086539360338
0x617616dd22233b07d426dfc946f017b6128d2aaa,182661546346947116
0x9cdf1cd87b904e3d1991a4cdc734c0b807412834,183325980248034809
0x99a4094b34586c24902f4ce5e181053bb2923ffb,191127782394893064
0x7cf38d0f09f89016955881336893250230cffd65,192792562745985428
0xa4b676d48bece74cd241bb487e55682e85d023a9,192973543429640065
0x44fa1b7b7acc00f6c81539a8fe255794edf7c03c,10515232726339035859
0xa4a1ffc4b4fb9f215136bf95753676e7899a141f,4874021748986092302
0x8cdf58a46c134d0898ee396a3c4802fe7e6d0466,141984019953227854233
0xa02d6c1cb1e7018f9afbfd6a9a8dbfa344fd3732,35214620
0x5f0ff52df8df2c5351c47b6711c33f36c5402909,366471675440779377224
0x9744706728e5db4d535dbf2fe1e6a4ea6cdb1ea7,8011864460118544502
0xa3a7739486ace332f3bb307c6e5ee175fa131839,102022651710175552559
0x9c54cfc3f78339ae1904a2b3cfc8622ba2fb4781,1179432003860770338524
0xf324adc872005197a6f7dae214d3b63aa0c3625f,35214620
0x8e150600934a63336c2d6e75a1b41d96039eb445,35214620
0x9c20b6eb1452e6ad77d67a8b5d86fddc384e93f3,362643008771786864744
0x9540f81a34a56e8a84a8acda49615dcc357a7593,88312308093621086608
0xd31f6bcad59e7f4d6f00bcc9c786981d7b10abfb,1106211386250093094685
0x6d93ab5743ad9fad6ff3c33e3ae60755b8913a08,727335499932789633
0x4167f26312c8fe15bf4b04c0e7e8958734eb6931,126071985306583526899
0xbca50151397b790c7d1cf5c66e8889a08b086612,644664587009836767839
0x9a3583a868156435ec9174b6310729b741d4379b,271444891022557505946
0x88888887c3ebd4a33e34a15db4254c74c75e5d4a,2044125864350909838
0x6aab3a5d61c8e2b6b0f1b6701dfd7477b0b13a3f,110728635747765237114
0x3d8bb79b2ee63178e0e9de6c199fb1df5bc33597,86908942678746190882
0xb2812370f17465ae096ced55679428786734a678,1286592870547096458242
0xbeef1efee5938c2bb2fd99f5fb7ee015c3d81c76,27582239052243
0x0bef24dca00c086713d3ecc897e0dd8cc156ba28,1031457757362693462105
0x219dc7e52998432f3812cadae69085ec445395a3,14407145411890731012
0x578b776e9a8ff380c257a0dd274820c5d484c6ec,7260544322568941458
0xfc1761ac1fcd39879cf68831dc7d4f4796293e5b,2885242931292765025
0xf0ee45c02747120c51f03d729554f7190f3b9276,148090674489630831108
0x6371024c5ffdaefef716adce3cac52ac6181cd9d,2216320195861262110551
0xaed8810b3f7367d63a6d6fd86dfb1878552d9d07,1080885304815494889063
0x6c2693f5a936f37ed03cfa8465bf2d8beff19a0f,90165613126124124098
0x31cd785b11beaffc42d3f9461b245f891922e09c,106053843001178620901
0x6cb3981d8f8696780525c872e24f6c552adc376f,10532099378122009358
0x450d917214101a4e3f5af7ac0eb1425afa20791a,43717872312240354350
0x8a3154b26c925fa8b2d61fc0b94747079acc5691,382121015503613202720
0x8504a9caf1582a674cbc596a8dc2b8b9dd922744,29633174036234898656
0x9bc5857b5ac75ffaec493eaa5a55c889ca6ba0fc,70756756674550555460
0x984c369da885c0f31cb92b47c20da80cd63f0c22,40379736116473725088
0x93893f7e609888801ea67a586fc40fdb06f8b700,135721521193445204293
0x7d02044442bfcf9c484201b35779a32701f34aa8,17341348247832970928
0x7c659bab15e8c8bed74f1b9c1c2cadee39884f19,20509222850793284412
0xe7fa5e5cfc3df4305a6436443417c4db4b24ee04,116707699316320824228
0xde078c11e0885fb28057436a4ab751189c1b3416,323100712000000000000
0x86bb1f0c21a1b8dad85089357ce5b42a581ba8ac,13835544096679007479
0x1f7d588333431870f107210feb039df470d5fe3c,220303673042463754
0x17b1d9a1a8f0363e04bccdf2839cb107b2297774,59391242056293763692
0xa0db06b78488834c9c8e65f5854200318f2cb179,2442867786372081160
0x6a4f702fdf49a348ed98a45e0298be8952fdf866,15255306856491782472
0x9b98b0329ee42364d101ac8c03704b263909e3db,684916573465171220
0x3bb8c7f964d49f11a2ef8a41a6cb00cbee8df53a,5446478149337581355
0xc9b8dafc1928070222167817ff0a0c92d15bb6a3,5223301850662418644
0xd8f89e6437b7d515706dcab8c9a8219eaf4863ce,18683071634000000000000
